,title,new_price,list_price,rating,rating_count,img_url
73,"JSAUX USB-C to USB A Cable 3.1A Fast Charging [2-Pack 6.6ft], USB Type C Charger Cord Compatible with Samsung Galaxy S20 S10 S9 S8 A73 A51 A13, Note 20 10, LG G8 G7, PS5 Controller USB C Charger-Red",$6.99,$10.99,"156,041 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/814lvrcxv4L._AC_SL1500_.jpg
74,"Original HP 902 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 6950, 6960 Series, HP OfficeJet Pro 6960, 6970 Series | Eligible for Instant Ink | T0A38AN",$39.65,$39.65,"17,613 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71t7WIpfxyL._AC_SL1500_.jpg
75,"Amazon Basics 8K DisplayPort to DisplayPort 1.4 Cable with 4K@120Hz, 8K@60Hz Video Resolution, and HDR Support, 6 Feet",$10.79,$10.79,"4,520 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61mQoqR+RwL._AC_SL1500_.jpg
76,"Amazon Basics USB 2.0 A-Male to Micro B Cable, 6 feet, Black",$5.12,$5.12,"81,197 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61d84Q0UPtL._SL1500_.jpg
77,"Original HP 62 Black Ink Cartridge | Works with HP ENVY 5540, 5640, 5660, 7640 Series, HP OfficeJet 5740, 8040 Series, HP OfficeJet Mobile 200, 250 Series | Eligible for Instant Ink | C2P04AN",$19.89,$19.89,"27,853 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71f50s2ZkRL._AC_SL1500_.jpg
78,"Original HP 64XL Tri-color High-yield Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J91AN",$49.89,$49.89,"15,444 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/716oBYwjCyS._AC_SL1500_.jpg
79,"Brother Genuine Cartridge TN760 High Yield Black Toner,1 Pack",$79.89,$79.89,"13,715 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71n5vk4vB-L._AC_SL1500_.jpg
80,"iPhone 14 13 12 11 Fast Charger, [MFi Certified] 10 FT Long USB C to Lightning Cable with 20W USB C iPhone Rapid Charging Block, Adapter for iPhone 14 13 12 11 Pro/Mini/Pro Max/X/8/iPad, 2 Pack",$19.79,$26.99,"1,685 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/617DCgRnHxL._AC_SL1500_.jpg
81,"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",$28.39,$28.39,"37,802 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/719ZXZP+5LL._AC_SL1500_.jpg
82,"SD Card Reader, uni USB C Memory Card Reader Adapter USB 3.0, Supports SD/Micro SD/SDHC/SDXC/MMC [Card Not Included], Compatible for MacBook Pro, MacBook Air, iPad Pro 2018, Galaxy S21",$11.99,$19.99,"15,408 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/51olZ+FM6RL._AC_US40_.jpg
83,Apple USB-C to Lightning Cable (1 m),$14.13,$14.13,"12,912 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/61QHx7l9ukL._AC_SL1500_.jpg
84,"Belkin Large Mouse Pad, 8 Inch by 9 Inch, for Computer or Gaming Mouse Pad, Non-slip Base, Neoprene Backing and Jersey Surface for Smooth Mouse Control and Pinpoint Accuracy (Black)",N/A,N/A,"16,070 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/710L1ewi8YL._AC_SL1500_.jpg
85,"MROCO Ergonomic Mouse Pad with Wrist Support Gel Mouse Pad with Wrist Rest, Comfortable Computer Mouse Pad for Laptop, Pain Relief Mousepad with Non-slip PU Base for Office & Home, 9.4 x 8.1 in, Black",$8.99,$15.49,"20,145 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/810BRQazsqL._AC_SL1500_.jpg
86,"SAMSUNG EVO Select Micro SD-Memory-Card + Adapter, 256GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Android Smartphones, Tablets, Nintendo-Switch (MB-ME256KA/AM)",$24.99,$39.99,"44,476 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71tK21fYkDL._AC_SL1500_.jpg
87,"Canon PG-275/CL-276 Multi Pack, Compatible to PIXMA TS3520, TS3522 and TR4720 Printers",N/A,N/A,"6,336 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71Ws7eTIeeS._AC_SL1500_.jpg
